sex,lives_with_partner,n_household,retired,age,age_partner,years_of_education,household_income,books_age_10,relative_math_ability_at_age_10,relative_language_ability_at_age_10
male,yes,2,no,55,55,19,32242,>25,better,better
female,yes,2,no,56,58,10,40758,0-25,same/worse,same/worse
female,yes,2,no,62,60,9,57275,>25,same/worse,same/worse
male,yes,2,no,63,58,12,38041,>25,better,better
male,yes,2,yes,70,70,12,76934,>25,better,better
female,yes,2,no,58,67,10,27392,>25,same/worse,same/worse
male,no,1,yes,74,NA,8,35561,>25,better,same/worse
male,yes,2,yes,67,62,17,34470,>25,better,better
female,yes,2,yes,64,67,18,29457,>25,same/worse,better
female,no,1,yes,83,NA,13,9764,>25,same/worse,better
female,yes,2,yes,69,75,6,47440,>25,better,same/worse
male,yes,2,yes,74,69,9,7160,0-25,better,same/worse
female,no,1,yes,74,NA,8,5882,0-25,same/worse,same/worse
male,yes,2,yes,71,68,12,28044,0-25,same/worse,same/worse
female,yes,2,yes,81,78,10,25820,0-25,same/worse,same/worse
male,yes,2,yes,67,64,11,33624,>25,better,better
female,yes,2,no,58,63,20,31209,>25,same/worse,better
male,yes,2,no,52,53,10,28373,>25,same/worse,same/worse
male,yes,2,no,59,57,14,72339,>25,same/worse,better
female,yes,2,no,56,59,13,28110,>25,same/worse,better
female,no,1,no,61,NA,15,13765,>25,same/worse,better
female,yes,2,yes,70,75,13,53407,0-25,better,same/worse
female,no,1,yes,81,NA,17,1148,>25,same/worse,same/worse
female,yes,2,yes,69,80,16,12397,0-25,better,better
male,yes,2,yes,78,74,3,5441,0-25,same/worse,same/worse
female,yes,2,yes,66,72,17,25333,>25,better,better
male,yes,2,yes,65,61,13,17458,>25,same/worse,same/worse
female,yes,2,no,54,57,11,40766,>25,same/worse,same/worse
male,yes,2,no,56,56,12,44746,>25,better,better
female,no,1,yes,73,NA,14,20443,>25,better,better
female,yes,2,yes,75,73,14,39010,>25,same/worse,better
male,yes,2,yes,74,70,18,44877,>25,same/worse,same/worse
female,no,1,yes,70,NA,16,12924,>25,same/worse,same/worse
male,yes,2,yes,67,67,9,40304,>25,better,better
female,yes,2,yes,68,71,12,28390,>25,same/worse,better
male,yes,2,no,53,53,13,16375,>25,same/worse,same/worse
female,no,1,yes,74,NA,8,17669,0-25,better,better
female,yes,2,yes,73,70,18,40189,>25,same/worse,same/worse
male,yes,2,yes,76,75,7,26564,>25,better,better
male,yes,2,yes,89,77,11,53466,>25,better,same/worse
male,yes,2,yes,71,67,15,34699,>25,better,better
female,yes,2,no,56,62,18,74316,>25,better,better
male,yes,2,yes,94,85,13,18548,0-25,same/worse,same/worse
female,yes,2,no,61,62,16,24496,>25,same/worse,better
male,no,1,yes,75,NA,12,11222,>25,better,better
female,yes,2,yes,71,75,11,50784,0-25,better,same/worse
male,yes,2,yes,74,72,11,126500,0-25,better,better
female,yes,2,no,60,60,19,26212,>25,better,better
male,yes,2,yes,73,82,14,21559,>25,better,better
male,no,1,yes,78,NA,11,19228,>25,better,better
male,yes,2,yes,69,68,14,32797,>25,same/worse,better
male,yes,2,yes,79,70,7,19784,0-25,same/worse,same/worse
female,yes,2,no,60,68,5,23445,>25,same/worse,same/worse
female,yes,2,yes,67,74,11,19835,>25,same/worse,same/worse
male,yes,2,yes,71,69,16,19846,>25,better,same/worse
male,no,1,yes,88,NA,12,4850,0-25,better,same/worse
female,no,1,yes,77,NA,8,1400,0-25,same/worse,same/worse
female,yes,2,yes,61,69,11,8092,>25,better,same/worse
female,yes,2,yes,96,85,8,59972,0-25,better,better
female,yes,2,yes,66,70,10,34280,>25,better,better
male,no,1,yes,71,NA,13,2878,>25,same/worse,same/worse
female,no,1,yes,75,NA,14,22236,>25,better,same/worse
female,yes,2,yes,87,78,10,12122,0-25,same/worse,same/worse
female,yes,3,no,53,58,12,41449,>25,better,better
female,yes,2,yes,74,72,7,28854,>25,better,same/worse
male,yes,2,yes,72,67,4,21554,0-25,same/worse,better
female,no,1,yes,81,NA,9,11866,0-25,better,better
male,yes,3,no,60,55,19,48104,>25,better,better
male,yes,2,yes,69,72,9,18804,0-25,same/worse,better
female,yes,2,no,55,59,19,39734,0-25,better,same/worse
female,no,1,yes,70,NA,6,49413,>25,same/worse,same/worse
female,no,1,yes,74,NA,13,28941,>25,better,better
female,yes,2,no,61,71,18,48097,>25,same/worse,same/worse
male,yes,2,yes,78,70,16,56925,>25,better,better
female,yes,3,no,59,62,12,39824,0-25,better,better
female,yes,2,no,69,66,12,23435,>25,same/worse,better
male,yes,2,no,55,58,13,23434,0-25,same/worse,same/worse
female,no,1,yes,66,NA,6,7256,0-25,better,same/worse
female,no,1,yes,71,NA,10,463,0-25,better,same/worse
female,yes,2,yes,74,71,14,19102,>25,better,same/worse
female,no,1,no,102,NA,11,9697,>25,same/worse,better
female,no,1,yes,73,NA,5,8342,0-25,same/worse,same/worse
male,yes,2,yes,69,66,15,25353,0-25,better,better
male,yes,2,yes,77,70,10,37682,0-25,same/worse,same/worse
female,yes,2,yes,81,75,7,20159,0-25,same/worse,same/worse
male,no,1,yes,80,NA,5,6313,0-25,same/worse,same/worse
female,yes,2,no,56,70,14,29268,>25,same/worse,better
male,yes,2,yes,82,74,14,56864,0-25,better,same/worse
female,no,1,yes,73,NA,5,17786,0-25,same/worse,same/worse
male,yes,2,yes,77,72,9,22218,>25,same/worse,same/worse
female,yes,2,no,53,60,25,83643,>25,same/worse,better
male,no,1,yes,73,NA,14,29467,0-25,better,better
male,yes,2,no,61,57,13,40547,>25,same/worse,same/worse
female,yes,2,no,59,68,16,53052,>25,same/worse,better
female,yes,2,yes,74,74,10,38862,0-25,same/worse,same/worse
male,yes,2,yes,69,80,17,21597,>25,better,better
female,no,1,no,62,NA,13,21205,>25,same/worse,better
female,no,1,yes,69,NA,3,5934,0-25,same/worse,same/worse
female,yes,2,yes,67,68,13,28732,>25,same/worse,same/worse
male,yes,2,no,57,70,19,47738,>25,better,better
female,yes,2,no,68,65,12,34875,>25,same/worse,better
female,yes,2,yes,67,74,11,26868,>25,better,same/worse
female,no,1,yes,75,NA,10,14039,0-25,same/worse,better
female,yes,2,yes,70,70,9,16273,0-25,same/worse,better
male,yes,2,yes,84,75,15,14855,0-25,same/worse,better
female,yes,2,yes,69,69,1,13836,0-25,same/worse,same/worse
male,yes,2,yes,69,69,9,42317,>25,better,better
female,no,1,yes,70,NA,12,4040,>25,same/worse,better
female,yes,2,no,58,60,13,33779,>25,same/worse,same/worse
female,no,1,yes,78,NA,17,654,0-25,same/worse,better
female,yes,2,yes,67,68,12,23300,>25,better,same/worse
male,yes,2,yes,65,62,10,45356,>25,same/worse,same/worse
female,no,1,no,59,NA,13,15253,>25,better,better
male,yes,2,yes,76,68,7,42563,0-25,same/worse,same/worse
female,yes,2,yes,66,68,10,28087,>25,same/worse,same/worse
male,no,1,no,61,NA,17,49879,>25,same/worse,better
female,yes,2,no,59,61,6,31495,0-25,same/worse,same/worse
female,no,1,no,82,NA,8,18829,0-25,same/worse,same/worse
female,no,1,yes,75,NA,16,8599,>25,better,better
male,no,1,yes,80,NA,4,3178,>25,same/worse,same/worse
female,no,1,yes,73,NA,1,27588,0-25,same/worse,better
female,yes,2,yes,85,78,17,96160,>25,better,better
male,yes,2,yes,74,71,10,49959,0-25,better,same/worse
male,yes,2,yes,70,69,12,61480,0-25,better,same/worse
female,yes,2,yes,77,77,15,42227,0-25,same/worse,better
female,no,1,yes,80,NA,16,21605,>25,better,better
female,no,1,yes,74,NA,8,13374,0-25,better,same/worse
female,yes,2,no,62,64,20,33041,>25,better,better
male,yes,2,no,72,63,11,81983,>25,same/worse,same/worse
male,no,1,yes,70,NA,21,56499,>25,better,better
male,no,1,no,68,NA,6,10411,>25,same/worse,better
male,yes,2,yes,71,68,13,18726,>25,better,same/worse
female,yes,2,yes,70,72,11,44074,0-25,same/worse,better
female,no,1,no,58,NA,19,43499,>25,better,better
male,yes,2,yes,78,72,9,10457,0-25,better,same/worse
female,yes,2,yes,69,74,7,77239,0-25,same/worse,same/worse
female,no,1,yes,71,NA,12,52929,>25,better,better
female,no,1,yes,73,NA,6,16695,>25,better,better
male,yes,2,yes,75,71,4,23155,0-25,better,same/worse
female,yes,2,yes,72,74,6,16754,0-25,same/worse,better
male,yes,2,yes,73,68,7,19768,>25,same/worse,same/worse
female,yes,2,yes,69,79,10,43131,>25,better,better
female,yes,2,yes,67,68,8,37643,>25,same/worse,same/worse
female,no,1,yes,76,NA,3,9538,0-25,same/worse,same/worse
female,no,1,no,71,NA,10,17501,>25,same/worse,better
female,yes,2,yes,64,69,13,100279,>25,better,same/worse
male,yes,2,yes,65,62,13,37304,>25,same/worse,same/worse
female,no,1,no,62,NA,20,9756,>25,better,better
female,yes,2,no,54,61,9,24796,>25,same/worse,same/worse
female,yes,2,yes,88,77,15,32603,0-25,same/worse,same/worse
male,no,1,yes,81,NA,9,2728,0-25,better,better
female,yes,2,yes,71,71,12,25316,>25,same/worse,same/worse
male,yes,2,yes,71,68,15,56528,>25,better,better
female,no,1,yes,86,NA,15,5973,0-25,better,better
male,yes,2,yes,72,65,12,11150,0-25,same/worse,same/worse
female,yes,2,yes,71,70,10,40724,0-25,same/worse,better
male,yes,2,yes,72,66,8,29880,0-25,better,same/worse
male,no,1,yes,70,NA,21,4721,>25,better,same/worse
female,no,1,yes,88,NA,7,6289,0-25,same/worse,same/worse
female,yes,2,yes,78,76,16,22958,>25,same/worse,better
female,yes,2,yes,66,78,16,20409,>25,better,better
male,yes,2,yes,67,70,18,23470,>25,better,better
male,yes,2,no,94,72,8,30032,0-25,same/worse,same/worse
female,no,1,yes,78,NA,5,3316,0-25,same/worse,same/worse
female,no,1,yes,69,NA,14,6425,>25,same/worse,better
male,yes,2,yes,92,77,15,59730,>25,better,better
female,yes,2,yes,65,72,11,25986,>25,same/worse,same/worse
female,no,1,yes,75,NA,13,9639,>25,same/worse,better
female,yes,2,no,56,67,15,33579,>25,better,better
male,yes,2,yes,68,65,11,74757,>25,same/worse,better
female,no,1,yes,81,NA,9,32205,0-25,same/worse,better
male,yes,2,yes,68,64,9,40310,>25,same/worse,same/worse
female,yes,2,yes,69,72,15,36677,0-25,same/worse,same/worse
female,yes,2,no,55,61,20,31691,>25,better,same/worse
male,yes,2,yes,70,68,7,34263,0-25,better,same/worse
female,yes,2,yes,67,78,15,34663,>25,same/worse,better
female,yes,3,yes,65,70,12,60600,>25,same/worse,same/worse
female,yes,2,yes,69,79,16,22658,0-25,better,better
male,yes,2,yes,70,66,9,26885,0-25,better,same/worse
female,yes,2,yes,68,70,11,24011,>25,same/worse,better
female,yes,2,no,57,60,3,15727,0-25,same/worse,same/worse
male,yes,2,yes,75,67,11,18501,0-25,same/worse,same/worse
male,yes,2,yes,73,66,12,34348,>25,same/worse,same/worse
female,yes,2,yes,68,70,12,24604,0-25,same/worse,same/worse
male,yes,2,yes,70,76,13,26583,>25,better,better
female,yes,2,no,54,60,17,33424,>25,better,better
male,yes,2,yes,73,66,11,17659,0-25,same/worse,same/worse
male,no,1,no,65,NA,15,11933,>25,same/worse,better
male,yes,2,yes,82,72,12,15400,>25,same/worse,better
male,no,1,no,74,NA,11,21700,>25,better,better
male,yes,2,yes,80,72,8,10780,0-25,same/worse,same/worse
female,yes,2,no,60,62,10,14862,0-25,same/worse,better
male,no,1,yes,83,NA,9,11679,0-25,same/worse,same/worse
female,no,1,no,65,NA,7,14240,>25,better,better
male,yes,2,yes,86,75,14,57466,0-25,better,same/worse
male,yes,2,yes,72,67,13,13371,0-25,same/worse,same/worse
female,yes,2,yes,82,77,8,53205,0-25,same/worse,same/worse
female,no,1,yes,96,NA,12,55567,0-25,better,better
female,yes,2,yes,65,67,8,50370,0-25,better,better
male,yes,2,yes,72,66,8,23784,>25,same/worse,same/worse
female,no,1,no,62,NA,17,40929,>25,better,better
male,yes,2,yes,71,72,13,38529,>25,better,better
female,yes,2,yes,70,74,9,34123,>25,better,same/worse
female,yes,2,no,71,66,18,54798,>25,same/worse,better
female,yes,2,yes,79,77,17,33448,>25,same/worse,better
male,yes,2,yes,69,65,10,44793,0-25,same/worse,same/worse
male,yes,2,no,61,58,8,73620,0-25,better,same/worse
female,yes,2,no,56,64,13,25100,0-25,same/worse,same/worse
female,no,1,yes,69,NA,11,16036,>25,same/worse,better
male,no,1,yes,73,NA,10,20792,>25,better,better
male,yes,2,yes,70,67,8,25995,>25,better,same/worse
female,yes,2,yes,79,76,7,52764,0-25,better,better
male,yes,2,yes,74,67,12,18227,0-25,better,same/worse
male,yes,2,yes,69,67,9,17861,>25,better,better
female,no,1,yes,70,NA,6,6637,0-25,same/worse,better
male,yes,2,yes,84,71,12,3761,0-25,same/worse,same/worse
female,yes,2,yes,97,83,10,5611,0-25,same/worse,same/worse
male,yes,2,no,55,53,16,27366,>25,same/worse,better
female,yes,2,no,57,58,18,36155,>25,better,better
female,yes,3,no,65,66,20,36978,>25,same/worse,better
male,yes,2,yes,67,63,14,22230,>25,same/worse,same/worse
female,yes,2,yes,66,68,10,69156,0-25,same/worse,better
male,yes,2,yes,75,73,11,94680,>25,better,better
female,yes,2,no,57,62,11,34388,>25,better,same/worse
female,no,2,no,56,NA,8,34528,>25,same/worse,same/worse
male,yes,2,yes,67,72,14,49618,>25,same/worse,same/worse
female,yes,2,yes,70,72,17,30150,>25,better,better
male,yes,2,yes,84,83,13,29660,>25,same/worse,better
male,no,1,yes,75,NA,9,24751,0-25,same/worse,same/worse
male,yes,2,yes,67,76,22,26932,>25,better,better
female,no,1,yes,71,NA,4,3297,0-25,same/worse,same/worse
male,yes,3,no,69,57,14,45789,>25,better,same/worse
female,yes,2,yes,69,75,8,30095,0-25,better,better
male,yes,2,yes,89,81,15,37377,0-25,same/worse,better
female,yes,2,yes,74,77,19,127415,>25,better,better
male,yes,2,yes,72,66,13,24899,0-25,same/worse,better
male,yes,2,yes,79,68,16,35651,>25,better,same/worse
female,yes,2,yes,71,76,10,44940,0-25,same/worse,better
female,yes,2,no,56,72,10,15393,0-25,same/worse,same/worse
male,yes,2,yes,69,65,8,16703,0-25,same/worse,same/worse
female,no,1,yes,73,NA,9,369,0-25,better,better
female,yes,2,yes,85,82,6,12740,>25,same/worse,same/worse
female,yes,2,yes,68,70,6,21908,0-25,same/worse,same/worse
male,yes,2,yes,71,66,2,34135,0-25,same/worse,better
female,yes,2,no,62,67,18,26057,0-25,better,better
male,yes,2,no,55,52,8,51742,>25,same/worse,same/worse
female,yes,2,no,58,65,18,26242,>25,better,better
female,yes,2,yes,70,73,11,64963,0-25,better,better
male,yes,2,yes,72,69,16,24224,>25,better,better
male,no,1,yes,93,NA,8,7264,>25,better,better
male,yes,2,yes,67,62,13,26514,>25,same/worse,same/worse
female,no,1,yes,71,NA,6,22455,0-25,better,same/worse
female,yes,2,yes,71,72,11,17821,0-25,same/worse,same/worse
female,no,1,yes,72,NA,9,9441,>25,better,better
male,yes,2,no,58,59,13,23752,>25,same/worse,same/worse
female,yes,2,yes,71,77,8,22266,>25,same/worse,better
female,no,1,yes,74,NA,13,13080,>25,same/worse,better
female,no,1,yes,93,NA,3,35352,0-25,same/worse,same/worse
male,yes,2,yes,82,71,9,8309,>25,better,same/worse
female,no,1,no,64,NA,12,22896,>25,better,better
male,yes,2,no,57,57,9,71316,>25,better,same/worse
female,yes,2,no,59,61,10,24323,0-25,same/worse,same/worse
male,yes,2,yes,73,67,11,20666,0-25,same/worse,same/worse
female,yes,2,yes,66,69,11,26571,0-25,same/worse,same/worse
male,no,1,no,65,NA,9,19734,>25,better,better
female,yes,2,no,55,57,13,29768,>25,same/worse,same/worse
male,yes,2,no,61,58,12,37763,>25,better,better
male,yes,2,yes,70,67,10,15629,0-25,same/worse,same/worse
female,yes,2,yes,72,72,11,28516,>25,same/worse,better
female,no,1,no,77,NA,13,20549,>25,better,same/worse
male,yes,2,yes,75,69,15,56636,>25,same/worse,better
female,yes,2,yes,70,73,11,42485,>25,same/worse,better
female,no,1,no,62,NA,8,27177,0-25,same/worse,better
male,yes,2,no,54,51,20,50239,>25,better,better
female,no,1,yes,84,NA,5,1333,0-25,better,better
female,yes,2,yes,77,75,13,19791,0-25,same/worse,better
male,yes,2,no,58,57,15,36238,>25,better,better
female,no,1,yes,75,NA,7,20129,0-25,same/worse,same/worse
female,yes,2,no,63,62,12,41698,>25,same/worse,better
male,yes,2,no,58,56,14,41751,>25,same/worse,better
female,no,1,yes,74,NA,10,2691,>25,same/worse,same/worse
female,yes,2,no,57,65,15,28701,>25,better,better
female,yes,2,yes,67,79,11,23285,>25,same/worse,better
male,yes,2,yes,73,71,5,68117,>25,same/worse,same/worse
male,yes,2,yes,78,70,11,17702,0-25,better,same/worse
female,yes,2,yes,75,75,4,22803,0-25,same/worse,same/worse
male,yes,2,no,65,58,18,38592,>25,better,better
female,yes,2,no,64,66,20,52783,>25,same/worse,same/worse
female,no,1,yes,100,NA,3,10318,0-25,same/worse,same/worse
male,yes,2,no,55,59,14,38607,>25,better,better
female,yes,2,yes,70,73,14,64736,>25,better,better
female,no,1,yes,82,NA,11,7116,0-25,better,same/worse
female,no,1,yes,72,NA,4,252,0-25,same/worse,better
female,yes,2,no,58,59,12,54528,>25,same/worse,better
male,yes,2,yes,74,68,16,46156,>25,better,better
female,yes,2,yes,87,79,10,10113,0-25,same/worse,same/worse
female,yes,2,yes,66,71,23,43218,>25,same/worse,better
male,yes,2,no,59,66,16,26191,0-25,better,better
male,yes,2,yes,75,72,8,18954,0-25,same/worse,same/worse
female,yes,2,yes,67,73,10,28201,0-25,same/worse,same/worse
female,no,1,yes,80,NA,7,6488,0-25,better,same/worse
male,yes,2,yes,72,67,11,20961,>25,same/worse,better
female,yes,2,yes,90,80,11,23073,>25,same/worse,better
female,no,1,yes,83,NA,12,18773,>25,same/worse,better
male,no,1,yes,73,NA,11,5384,>25,same/worse,same/worse
female,no,1,yes,83,NA,16,12109,>25,same/worse,better
female,yes,2,no,54,61,9,23956,0-25,better,same/worse
female,no,1,yes,77,NA,12,36917,0-25,better,better
female,no,1,yes,72,NA,8,23585,0-25,same/worse,same/worse
male,yes,2,yes,68,64,14,36790,>25,same/worse,same/worse
male,yes,2,yes,68,66,10,22844,>25,same/worse,same/worse
female,yes,2,yes,78,73,13,15681,0-25,same/worse,same/worse
female,no,2,yes,69,NA,5,14441,0-25,same/worse,better
female,no,1,no,59,NA,15,42027,0-25,same/worse,same/worse
female,yes,2,yes,71,71,9,24609,>25,same/worse,better
female,yes,2,no,55,57,12,16977,>25,same/worse,same/worse
female,yes,2,no,55,61,14,28900,>25,better,same/worse
female,yes,2,yes,74,81,7,11092,0-25,better,better
female,yes,2,yes,69,76,7,41856,>25,same/worse,better
male,yes,2,no,60,68,6,17144,>25,same/worse,same/worse
male,yes,2,no,70,60,15,25949,0-25,same/worse,same/worse
male,yes,2,yes,72,69,6,44466,>25,same/worse,same/worse
male,yes,2,yes,75,66,8,4538,0-25,same/worse,same/worse
female,yes,2,yes,70,69,14,7874,0-25,better,same/worse
female,yes,2,yes,66,70,10,25380,>25,better,better
male,yes,2,yes,73,74,13,18639,>25,better,better
male,yes,2,yes,68,72,9,57436,>25,better,better
female,yes,2,yes,85,78,9,24812,0-25,same/worse,better
female,no,1,yes,73,NA,8,11303,0-25,same/worse,same/worse
female,no,1,yes,92,NA,5,29281,0-25,same/worse,same/worse
female,yes,2,yes,67,71,6,45684,>25,better,better
female,yes,3,no,74,73,13,57630,>25,same/worse,better
male,yes,3,no,54,52,15,54264,>25,same/worse,better
male,no,1,yes,73,NA,11,464,>25,better,same/worse
female,no,1,yes,81,NA,13,16910,0-25,same/worse,better
female,no,1,yes,76,NA,6,8017,0-25,same/worse,same/worse
female,yes,2,no,62,65,6,50771,0-25,same/worse,same/worse
male,yes,2,no,66,67,10,70998,0-25,same/worse,same/worse
female,no,1,yes,74,NA,11,13401,>25,same/worse,same/worse
female,no,1,yes,85,NA,12,17172,>25,same/worse,same/worse
male,no,1,no,67,NA,9,8558,0-25,same/worse,same/worse
female,no,1,no,57,NA,11,17748,>25,same/worse,better
male,no,1,yes,75,NA,9,3197,0-25,same/worse,same/worse
male,yes,2,yes,73,67,8,15955,0-25,same/worse,same/worse
female,yes,2,yes,72,72,10,13486,0-25,better,better
female,yes,2,yes,70,73,19,18656,>25,better,better
male,no,1,yes,75,NA,7,71152,0-25,same/worse,better
female,yes,2,no,65,63,9,29602,>25,same/worse,better
male,yes,2,yes,71,68,12,36934,>25,same/worse,better
male,yes,2,no,59,55,10,64678,0-25,better,same/worse
female,yes,2,yes,66,73,6,26616,0-25,same/worse,better
female,no,1,yes,74,NA,9,32022,0-25,same/worse,same/worse
female,yes,2,yes,65,72,6,50070,0-25,same/worse,same/worse
male,yes,2,yes,67,64,8,46976,>25,same/worse,better
female,no,1,yes,69,NA,18,7038,>25,better,better
female,yes,2,yes,71,75,4,17457,>25,same/worse,better
male,yes,2,no,57,56,9,51551,>25,better,same/worse
female,yes,2,no,53,60,9,36138,>25,same/worse,better
male,yes,2,no,61,63,8,29324,>25,same/worse,same/worse
female,yes,2,yes,78,74,8,22061,0-25,same/worse,better
male,no,1,yes,76,NA,11,5736,>25,same/worse,same/worse
male,no,2,no,58,NA,10,48360,0-25,better,same/worse
female,yes,2,no,74,75,18,9760,>25,same/worse,better
male,yes,2,yes,73,66,5,14889,0-25,same/worse,same/worse
female,no,1,yes,78,NA,15,4376,>25,better,same/worse
